"Source:","/home/xgaltier/Boulot/ENISE/Projet/Sonde_diff/sonde_diff/sonde_diff.kicad_sch"
"Date:","mar. 12 sept. 2023 08:08:54"
"Tool:","Eeschema 7.0.7"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","8","C1, C2, C3, C4, C6, C7, C8, C9","10p","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm","~",""
"2","2","C11, C15","470p","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm","~",""
"3","2","C12, C16","47p","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm","~",""
"4","2","C13, C17","22p","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm","~",""
"5","2","C14, C18","8p","Device:C_Variable","Potentiometer_THT:Potentiometer_ACP_CA9-H2,5_Horizontal","~",""
"6","8","C22, C25, C28, C31, C33, C36, C39, C40","100n","Device:C","Capacitor_THT:C_Rect_L10.0mm_W5.0mm_P5.00mm_P7.50mm","~",""
"7","6","C23, C24, C27, C30, C32, C35","100p","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm","~",""
"8","3","C26, C29, C34","4.7u","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~",""
"9","2","C37, C38","10u","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~",""
"10","2","D1, D2","BAV99","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf",""
"11","2","E1, E2","SparkGap","Device:SparkGap","Xg_lib_pcb:Spark_gap_1200","~",""
"12","2","J1, J2","Conn_01x01","Connector_Generic:Conn_01x01","Xg_lib_pcb:PIN_3mm","~",""
"13","1","J3","Conn_01x03","Connector_Generic:Conn_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~",""
"14","1","J4","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal"," ~",""
"15","8","R1, R2, R3, R4, R9, R10, R11, R12","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"16","2","R6, R14","15k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"17","2","R7, R15","2.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"18","2","R8, R16","64","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"19","2","R17, R18","1500","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"20","1","R19","5000","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"21","1","R20","6000","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"22","1","R21","105000","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"23","1","R25","50","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"24","1","RV1","2K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_T73XX_Horizontal","~",""
"25","1","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"26","1","U1","~","Xg_lib_sch_v6:AD8130_29","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","",""
